2025-04-17 08:01:20,092 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:21,633 p=17812 u=dmeta n=ansible | TASK [config-audit-template : Put contents into /etc/audit/rules.d/30-ospp-v42-5-perm-change-failed.rules according to policy] ***
2025-04-17 08:01:21,633 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:22,338 p=17812 u=dmeta n=ansible | TASK [config-session-login : Replace user umask in /etc/bashrc] *********************
2025-04-17 08:01:22,338 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:23,072 p=17812 u=dmeta n=ansible | TASK [config-session-login : Replace user umask in /etc/csh.cshrc] ******************
2025-04-17 08:01:23,072 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:23,847 p=17812 u=dmeta n=ansible | TASK [config-session-login : Ensure the Default Umask is Set Correctly in /etc/profile - Ensure umask Value For All Existing umask Definition in /etc/profile] ***
2025-04-17 08:01:23,847 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:24,579 p=17812 u=dmeta n=ansible | TASK [config-session-login : Find /etc/security/limits.d files containing maxlogins configuration] ***
2025-04-17 08:01:24,579 p=17812 u=dmeta n=ansible | ok: [arteva1]
2025-04-17 08:01:25,449 p=17812 u=dmeta n=ansible | TASK [config-session-login : Limit the Number of Concurrent Login Sessions Allowed Per User] ***
2025-04-17 08:01:25,450 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:26,115 p=17812 u=dmeta n=ansible | TASK [config-kernel-args : Update grub defaults and the bootloader menu] ************
2025-04-17 08:01:26,116 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:26,859 p=17812 u=dmeta n=ansible | TASK [config-kernel-args : Update grub defaults and the bootloader menu] ************
2025-04-17 08:01:26,860 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:27,759 p=17812 u=dmeta n=ansible | TASK [config-kernel-args : Update grub defaults and the bootloader menu] ************
2025-04-17 08:01:27,760 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:28,479 p=17812 u=dmeta n=ansible | TASK [config-kernel-args : Update grub defaults and the bootloader menu] ************
2025-04-17 08:01:28,480 p=17812 u=dmeta n=ansible | changed: [arteva1]
2025-04-17 08:01:29,394 p=17812 u=dmeta n=ansible | TASK [config-kernel-args : Update grub defaults and the bootloader menu] ************
